"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00170_ACX60_RS00170",547.609792811876,581.316760823384,650.452868227448,462.299982674717,545.242115702809,425.971716660622
"gene-ACX60_RS00175_ACX60_RS00175",119.903879868021,137.131133322439,101.474706431739,222.809527732402,182.532457740681,257.141463106107
"gene-ACX60_RS00180_dnaJ",1723.98383371215,1097.04906657951,1959.47658119688,1363.07005200999,1605.10799935838,1972.7165780716
"gene-ACX60_RS00185_ACX60_RS00185",8.04233340578189,14.1602800713388,4.05898825726957,10.7234532063723,4.71051503846919,11.6882483230049
"gene-ACX60_RS00190_dapB",657.277975617992,874.21097493055,713.367186215126,803.067495677215,809.030957857083,1001.29327300408
"gene-ACX60_RS00195_ACX60_RS00195",272.708214577877,333.8844985242,306.453613423852,272.85230936214,226.104721846521,303.894456398127
"gene-ACX60_RS00200_ACX60_RS00200",149.148728616319,278.733934035828,170.477506805322,147.745355287796,146.025966192545,167.531559296403
"gene-ACX60_RS00205_dkgB",78.2299704016965,175.140306145507,93.3567299172,84.5961308502704,61.2366955000995,96.1033751002623
"gene-ACX60_RS00210_ACX60_RS00210",76.7677279642816,112.536962672219,74.0765356951696,113.192006067263,105.986588365557,151.947228199063
"gene-ACX60_RS00215_ACX60_RS00215",9.50457584319677,10.4338905788812,8.11797651453913,16.6809272099125,20.0196889134941,7.79216554866991
"gene-ACX60_RS00220_ACX60_RS00220",112.592667680946,132.65946593149,118.725406525135,127.48994367576,118.940504721347,120.778566004384
"gene-ACX60_RS00225_ACX60_RS00225",2102.70462500261,2036.09921867883,2430.31921904015,912.685017342354,1004.51733195355,553.243753955564
"gene-ACX60_RS00230_ACX60_RS00230",149.879849835026,215.385312664049,176.565989191226,227.575506935235,234.348123163842,183.115890393743
"gene-ACX60_RS00235_ACX60_RS00235",10.9668182806117,31.3016717366437,16.2359530290783,22.6384012134526,24.7302039519632,32.4673564527913
"gene-ACX60_RS00240_ACX60_RS00240",105.281455493872,117.008630063168,113.651671203548,140.596386483548,136.604936115607,149.34983968284
"gene-ACX60_RS00245_mutY",102.356970619042,96.8861268038973,107.563188817644,139.40489168284,188.420601538768,219.479329620869
"gene-ACX60_RS00250_ACX60_RS00250",1457.85571010264,1135.05823940258,1546.4745260197,1584.68808494169,1671.05520989695,929.865088807943
"gene-ACX60_RS00255_ACX60_RS00255",2467.53411313762,1499.49913176493,2458.73213684104,1577.53911613744,1659.27892230077,1137.65617010581
